date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:32:18	166/166	---M--	502	error ('Bad%20Gateway')	text/html	date:Sun,%2010%20Apr%202022%2013:32:18%20GMT	http://burton.html.redbrush.eu/robots.txt		(from )
20:32:19	32333/32333	---MCZ	200	added ('OK')	text/html	etag:W/%22581b4f66-7e4d%22	http://burton.html.redbrush.eu/	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/index.html	(from )
20:32:19	326/326	---M--	200	added ('OK')	image/x-icon	etag:%2258078f4b-146%22	http://burton.html.redbrush.eu/img/favicon.ico	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/img/favicon.ico	(from http://burton.html.redbrush.eu/)
20:32:20	37089/37089	---M--	200	added ('OK')	text/css	etag:%2258078f2d-90e1%22	http://burton.html.redbrush.eu/css/bootstrap.css	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/css/bootstrap.css	(from http://burton.html.redbrush.eu/)
20:32:20	35128/35128	---M--	200	added ('OK')	text/css	etag:%2258078f2e-8938%22	http://burton.html.redbrush.eu/css/font-awesome.css	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/css/font-awesome.css	(from http://burton.html.redbrush.eu/)
20:32:21	12754/12754	---M--	200	added ('OK')	text/css	etag:%2258078f2f-31d2%22	http://burton.html.redbrush.eu/css/simple-line-icons.css	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/css/simple-line-icons.css	(from http://burton.html.redbrush.eu/)
20:32:22	821/821	---M--	200	added ('OK')	text/css	etag:%2258078f2f-335%22	http://burton.html.redbrush.eu/css/fonts.css	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/css/fonts.css	(from http://burton.html.redbrush.eu/)
20:32:22	52789/52789	---M--	200	added ('OK')	text/css	etag:%2258078f2c-ce35%22	http://burton.html.redbrush.eu/css/animate.min.css	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/css/animate.min.css	(from http://burton.html.redbrush.eu/)
20:32:23	4112/4112	---M--	200	added ('OK')	text/css	etag:%2258175337-1010%22	http://burton.html.redbrush.eu/css/photoswipe.css	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/css/photoswipe.css	(from http://burton.html.redbrush.eu/)
20:32:23	11607/11607	---M--	200	added ('OK')	text/css	etag:%2258078f2d-2d57%22	http://burton.html.redbrush.eu/css/default-skin/default-skin.css	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/css/default-skin/default-skin.css	(from http://burton.html.redbrush.eu/)
